2024-05-17 11:32:21 status unpacked libappindicator3-1:amd64 12.10.1+18.04.20200408.1-0ubuntu1
2024-05-17 11:32:22 upgrade libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:22 status half-configured libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:22 status unpacked libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:22 status half-installed libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:22 status half-installed libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:22 status unpacked libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:22 status unpacked libsmbclient:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:23 upgrade samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:23 status half-configured samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:23 status unpacked samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:23 status half-installed samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:24 status half-installed samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:24 status unpacked samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:24 status unpacked samba-libs:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:24 upgrade libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:24 status half-configured libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:25 status unpacked libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:25 status half-installed libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:25 status half-installed libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.28
2024-05-17 11:32:25 status unpacked libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:25 status unpacked libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.29
2024-05-17 11:32:26 upgrade python-apt-common:all 1.6.5ubuntu0.5 1.6.6
2024-05-17 11:32:26 status half-configured python-apt-common:all 1.6.5ubuntu0.5
2024-05-17 11:32:26 status unpacked python-apt-common:all 1.6.5ubuntu0.5
2024-05-17 11:32:26 status half-installed python-apt-common:all 1.6.5ubuntu0.5
2024-05-17 11:32:26 status half-installed python-apt-common:all 1.6.5ubuntu0.5
2024-05-17 11:32:26 status unpacked python-apt-common:all 1.6.6
2024-05-17 11:32:26 status unpacked python-apt-common:all 1.6.6
2024-05-17 11:32:27 upgrade python3-apt:amd64 1.6.5ubuntu0.5 1.6.6
2024-05-17 11:32:27 status half-configured python3-apt:amd64 1.6.5ubuntu0.5
2024-05-17 11:32:27 status unpacked python3-apt:amd64 1.6.5ubuntu0.5
2024-05-17 11:32:27 status half-installed python3-apt:amd64 1.6.5ubuntu0.5
2024-05-17 11:32:28 status half-installed python3-apt:amd64 1.6.5ubuntu0.5
2024-05-17 11:32:28 status unpacked python3-apt:amd64 1.6.6
2024-05-17 11:32:28 status unpacked python3-apt:amd64 1.6.6
2024-05-17 11:32:28 install python3-colorama:all <none> 0.3.7-1
2024-05-17 11:32:28 status half-installed python3-colorama:all 0.3.7-1
2024-05-17 11:32:29 status unpacked python3-colorama:all 0.3.7-1
2024-05-17 11:32:29 status unpacked python3-colorama:all 0.3.7-1
2024-05-17 11:32:29 install python3-click:all <none> 6.7-3
2024-05-17 11:32:29 status half-installed python3-click:all 6.7-3
2024-05-17 11:32:29 status unpacked python3-click:all 6.7-3
2024-05-17 11:32:29 status unpacked python3-click:all 6.7-3
2024-05-17 11:32:30 upgrade ubuntu-drivers-common:amd64 1:0.5.2.5 1:0.8.6.3~0.18.04.2
2024-05-17 11:32:30 status half-configured ubuntu-drivers-common:amd64 1:0.5.2.5
2024-05-17 11:32:30 status unpacked ubuntu-drivers-common:amd64 1:0.5.2.5
2024-05-17 11:32:30 status half-installed ubuntu-drivers-common:amd64 1:0.5.2.5
2024-05-17 11:32:31 status half-installed ubuntu-drivers-common:amd64 1:0.5.2.5
2024-05-17 11:32:31 status unpacked ubuntu-drivers-common:amd64 1:0.8.6.3~0.18.04.2
2024-05-17 11:32:31 status unpacked ubuntu-drivers-common:amd64 1:0.8.6.3~0.18.04.2
2024-05-17 11:32:31 upgrade distro-info-data:all 0.37ubuntu0.14 0.37ubuntu0.18
2024-05-17 11:32:31 status half-configured distro-info-data:all 0.37ubuntu0.14
2024-05-17 11:32:31 status unpacked distro-info-data:all 0.37ubuntu0.14
2024-05-17 11:32:31 status half-installed distro-info-data:all 0.37ubuntu0.14
2024-05-17 11:32:31 status half-installed distro-info-data:all 0.37ubuntu0.14
2024-05-17 11:32:32 status unpacked distro-info-data:all 0.37ubuntu0.18
2024-05-17 11:32:32 status unpacked distro-info-data:all 0.37ubuntu0.18
2024-05-17 11:32:32 install distro-info:amd64 <none> 0.18ubuntu0.18.04.1
2024-05-17 11:32:32 status half-installed distro-info:amd64 0.18ubuntu0.18.04.1
2024-05-17 11:32:32 status unpacked distro-info:amd64 0.18ubuntu0.18.04.1
2024-05-17 11:32:32 status unpacked distro-info:amd64 0.18ubuntu0.18.04.1
2024-05-17 11:32:33 upgrade ubuntu-advantage-tools:all 17 31.2.3~18.04
2024-05-17 11:32:33 status half-configured ubuntu-advantage-tools:all 17
2024-05-17 11:32:33 status unpacked ubuntu-advantage-tools:all 17
2024-05-17 11:32:33 status half-installed ubuntu-advantage-tools:all 17
2024-05-17 11:32:34 status half-installed ubuntu-advantage-tools:all 17
2024-05-17 11:32:34 status unpacked ubuntu-advantage-tools:all 31.2.3~18.04
2024-05-17 11:32:34 status unpacked ubuntu-advantage-tools:all 31.2.3~18.04
2024-05-17 11:32:34 install ubuntu-pro-client:amd64 <none> 31.2.3~18.04
2024-05-17 11:32:34 status half-installed ubuntu-pro-client:amd64 31.2.3~18.04
2024-05-17 11:32:35 status unpacked ubuntu-pro-client:amd64 31.2.3~18.04
2024-05-17 11:32:35 status unpacked ubuntu-pro-client:amd64 31.2.3~18.04
2024-05-17 11:32:35 upgrade ubuntu-release-upgrader-gtk:all 1:18.04.40 1:18.04.45
2024-05-17 11:32:35 status half-configured ubuntu-release-upgrader-gtk:all 1:18.04.40
2024-05-17 11:32:35 status unpacked ubuntu-release-upgrader-gtk:all 1:18.04.40
2024-05-17 11:32:35 status half-installed ubuntu-release-upgrader-gtk:all 1:18.04.40
2024-05-17 11:32:35 status half-installed ubuntu-release-upgrader-gtk:all 1:18.04.40
2024-05-17 11:32:36 status unpacked ubuntu-release-upgrader-gtk:all 1:18.04.45
2024-05-17 11:32:36 status unpacked ubuntu-release-upgrader-gtk:all 1:18.04.45
2024-05-17 11:32:36 upgrade ubuntu-release-upgrader-core:all 1:18.04.40 1:18.04.45
2024-05-17 11:32:36 status half-configured ubuntu-release-upgrader-core:all 1:18.04.40
2024-05-17 11:32:36 status unpacked ubuntu-release-upgrader-core:all 1:18.04.40
2024-05-17 11:32:36 status half-installed ubuntu-release-upgrader-core:all 1:18.04.40
2024-05-17 11:32:36 status half-installed ubuntu-release-upgrader-core:all 1:18.04.40
2024-05-17 11:32:37 status unpacked ubuntu-release-upgrader-core:all 1:18.04.45
2024-05-17 11:32:37 status unpacked ubuntu-release-upgrader-core:all 1:18.04.45
2024-05-17 11:32:37 upgrade update-manager:all 1:18.04.11.13 1:18.04.12
2024-05-17 11:32:37 status half-configured update-manager:all 1:18.04.11.13
2024-05-17 11:32:37 status unpacked update-manager:all 1:18.04.11.13
2024-05-17 11:32:37 status half-installed update-manager:all 1:18.04.11.13
2024-05-17 11:32:37 status triggers-pending libglib2.0-0:amd64 2.56.4-0ubuntu0.18.04.9
2024-05-17 11:32:38 status half-installed update-manager:all 1:18.04.11.13
2024-05-17 11:32:38 status half-installed update-manager:all 1:18.04.11.13
2024-05-17 11:32:38 status unpacked update-manager:all 1:18.04.12
2024-05-17 11:32:38 status unpacked update-manager:all 1:18.04.12
2024-05-17 11:32:38 upgrade python3-distupgrade:all 1:18.04.40 1:18.04.45
2024-05-17 11:32:38 status half-configured python3-distupgrade:all 1:18.04.40
2024-05-17 11:32:39 status unpacked python3-distupgrade:all 1:18.04.40
2024-05-17 11:32:39 status half-installed python3-distupgrade:all 1:18.04.40
2024-05-17 11:32:39 status half-installed python3-distupgrade:all 1:18.04.40
2024-05-17 11:32:39 status unpacked python3-distupgrade:all 1:18.04.45
2024-05-17 11:32:39 status unpacked python3-distupgrade:all 1:18.04.45
2024-05-17 11:32:39 upgrade python3-update-manager:all 1:18.04.11.13 1:18.04.12
2024-05-17 11:32:39 status half-configured python3-update-manager:all 1:18.04.11.13
2024-05-17 11:32:40 status unpacked python3-update-manager:all 1:18.04.11.13
2024-05-17 11:32:40 status half-installed python3-update-manager:all 1:18.04.11.13
2024-05-17 11:32:40 status half-installed python3-update-manager:all 1:18.04.11.13
2024-05-17 11:32:40 status unpacked python3-update-manager:all 1:18.04.12
2024-05-17 11:32:40 status unpacked python3-update-manager:all 1:18.04.12
2024-05-17 11:32:40 upgrade update-manager-core:all 1:18.04.11.13 1:18.04.12
2024-05-17 11:32:40 status half-configured update-manager-core:all 1:18.04.11.13
2024-05-17 11:32:40 status unpacked update-manager-core:all 1:18.04.11.13
2024-05-17 11:32:40 status half-installed update-manager-core:all 1:18.04.11.13
2024-05-17 11:32:41 status half-installed update-manager-core:all 1:18.04.11.13
2024-05-17 11:32:41 status unpacked update-manager-core:all 1:18.04.12
2024-05-17 11:32:41 status unpacked update-manager-core:all 1:18.04.12
2024-05-17 11:32:41 upgrade mutter-common:all 3.28.4-0ubuntu18.04.2 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:41 status half-configured mutter-common:all 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:41 status unpacked mutter-common:all 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:41 status half-installed mutter-common:all 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:41 status half-installed mutter-common:all 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:41 status half-installed mutter-common:all 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:42 status unpacked mutter-common:all 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:42 status unpacked mutter-common:all 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:42 upgrade gir1.2-mutter-2:amd64 3.28.4-0ubuntu18.04.2 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:42 status half-configured gir1.2-mutter-2:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:42 status unpacked gir1.2-mutter-2:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:42 status half-installed gir1.2-mutter-2:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:42 status half-installed gir1.2-mutter-2:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:42 status unpacked gir1.2-mutter-2:amd64 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:42 status unpacked gir1.2-mutter-2:amd64 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:43 upgrade libmutter-2-0:amd64 3.28.4-0ubuntu18.04.2 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:43 status half-configured libmutter-2-0:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:43 status unpacked libmutter-2-0:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:43 status half-installed libmutter-2-0:amd64 3.28.4-0ubuntu18.04.2
2024-05-17 11:32:43 status half-installed libmutter-2-0:amd64 3.28.4-0ubuntu18.04.2
